Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan/Review Location,Your rating,Your review,Personal Note,Wine type,Drinking Window,Link to wine,Label image
Taylor's,20 Year Old Tawny Port,,Porto,Portugal,Tawny Port,4.3,,The Mick Brasserie + Bar,4.0,"8.0 out of 10 - This was phenomenal! Didn’t think I’d like it, as I’m not usually a dessert wine fan. I got flavors of  Caramel, creme brulee, marzipan, medjool date, and raisin, a little bit of almond. Probably the first one I’ve had that I remember loving.",,Fortified Wine,,https://www.vivino.com/wines/1470373,
Domaine Schaller Camille & Laurent,Chablis,2022,Chablis,France,Burgundy Chablis,3.8,,The Mick Brasserie + Bar,2.7,"5.4 out of 10 - almost tasted like water for me. I wanted more flavor - in any way. Pear, salt, and peach but not much else. 

Sometimes I get sick of the American oakiness of our Chardonnays. But this is one of those times where I am missing that flavor profile. I usually love Chablis for this reason but it’s just missing too much!

Got a glass for my mom’s birthday at the Mick.",,White Wine,,https://www.vivino.com/wines/171633809,
Henri de Bareuil,Bourgogne Pinot Noir,2021,Bourgogne,France,Burgundy Red,3.5,2025-06-02 02:55:01,The Mick Brasserie + Bar,3.8,"7.6 out 10 - blackberry, mushroom, blueberry, tobacco, and some red fruit. As someone who hasn’t been too keen on Pinot Noirs lately, this one landed really well for me. I definitely want a retaste!",,Red Wine,,https://www.vivino.com/wines/171302481,https://images.vivino.com/labels/IKaBMuz2QVmMOFJW_hpmMw.jpg
Bieler Père et Fils,Rosé (Cuvée Sabine),2023,Coteaux d'Aix-en-Provence,France,Provence Rosé,3.9,2025-06-02 02:49:10,The Mick Brasserie + Bar,3.5,"7.0 out of 10 great rosé that’s light, refreshing and perfect for summer, got a glass of the 2023 at the Mick which is their house rosé.

I get flavors of strawberry, grass, salt, peach, and a melon.

I didn’t like this vintage as much as the other one I rated earlier. I felt like it tasted like it was a bit watered down.",,Rosé Wine,,https://www.vivino.com/wines/174473215,https://images.vivino.com/labels/Lea6lg8cTE6Lf-v56QT9VA.jpg
Slice,Skin Contact White,2023,Central Coast,United States,Californian White Blend,3.5,2025-06-02 02:45:43,Trader Joe's,3.5,"7.1 out of 10 - lovely and refreshing, it’s not my favorite skin contact but it’s definitely not bad at all. I get flavors of mandarin orange, melon, and white peach.

For something you can buy for like $11 at Trader Joe’s it’s not bad!",,White Wine,,https://www.vivino.com/wines/177867917,https://images.vivino.com/labels/fBDD5ZJYTbW355MrYLS71g.jpg
Kranemann,10 Anos Tawny Porto,,Porto,Portugal,Tawny Port,4.1,,The Mick Brasserie + Bar,,,,Fortified Wine,,https://www.vivino.com/wines/160068055,
Bodega Garzón,Reserva Albariño,2022,Maldonado,Uruguay,,3.9,2025-05-31 22:26:28,Trevor’s Liquor,,,,White Wine,,https://www.vivino.com/wines/170695719,https://images.vivino.com/labels/-MESnEYFQZOLP696K-oYJw.jpg
Vino Stache,The Farmer,2019,Sonoita,us,,,2025-05-31 22:17:59,,,,Met the owner Brooke lowery,Red Wine,,https://www.vivino.com/wines/180653579,https://images.vivino.com/labels/yTqz8OwWSriQqiDybIKzpQ.jpg
Krasno,Orange (White Wine with Maceration),,Goriška Brda,Slovenia,Slovenian White,3.9,,Carcara,3.7,"7.5 out of 10 - shame I didn’t rate this the first time around when I had it. It’s incredible! Almost tastes like a Chardonnay, but just with a little more funk from the skin contact.

I get flavors of tangerine, minerals, peach, honey, oak butter, cream, and a slight bit of grapefruit.

The lady didn’t like it as much as me, but like it better than most skin contact wines.",,White Wine,,https://www.vivino.com/wines/166102696,
Aveleda,Vinho Verde Loureiro - Alvarinho,2022,Vinho Verde,Portugal,Portuguese Vinho Verde White,3.8,2025-05-31 22:06:56,PA’LA Downtown,4.0,"8.0 out of 10 - really lovely choice. Especially for the summer. Apple, pear, minerals like salt, maybe a little bit of oak and honey, but just slightly enough not to overpower. Over course acidity adds citrus and lemon too.

I usually regret ordering a bottle at a restaurant but I really enjoyed this. It is my first time rating this varietal. Split a bottle at Pa’la with a incredible woman.",,White Wine,,https://www.vivino.com/wines/170678448,https://images.vivino.com/labels/R0IwDn4lSCKglKupXlDYvQ.jpg
